STATION,STATION_NAME,DATE,TAVG
GHCND:USW00094789,JFK INTERNATIONAL AIRPORT NY US,20140313,30
GHCND:USW00094789,JFK INTERNATIONAL AIRPORT NY US,20140314,30
GHCND:USW00094789,JFK INTERNATIONAL AIRPORT NY US,20140315,48
GHCND:USW00094789,JFK INTERNATIONAL AIRPORT NY US,20140316,40
GHCND:USW00094789,JFK INTERNATIONAL AIRPORT NY US,20140317,30
GHCND:USW00094789,JFK INTERNATIONAL AIRPORT NY US,20140318,33
GHCND:USW00094789,JFK INTERNATIONAL AIRPORT NY US,20140319,36
GHCND:USW00094789,JFK INTERNATIONAL AIRPORT NY US,20140320,47
GHCND:USW00094789,JFK INTERNATIONAL AIRPORT NY US,20140321,45
GHCND:USW00094789,JFK INTERNATIONAL AIRPORT NY US,20140322,48
